intDate,offerCount,Score
2022-12-01,1776,81.25
2022-12-02,1503,78.92
2022-12-05,1722,86.18
2022-12-06,1956,75.87
2022-12-07,1819,73.17
2022-12-08,2017,72.55
2022-12-09,2016,73.31
2022-12-12,2517,84.79
2022-12-13,2645,78.09
2022-12-14,2467,78.13
2022-12-15,2365,79.53
2022-12-16,2041,79.49
2022-12-19,2238,82.69
2022-12-20,2274,77.56
2022-12-21,2141,82.45
2022-12-22,1843,88.7
2022-12-23,1254,87.88
2022-12-28,832,77.35
2022-12-29,622,75.48
2022-12-30,847,68.99
2023-01-03,1685,72.94
2023-01-04,1798,78.18
2023-01-05,1814,79.49
2023-01-06,1572,88.63
2023-01-09,2361,91.21
2023-01-10,2468,83.71
2023-01-11,2213,91.75
2023-01-12,2184,91.07
2023-01-13,1776,92.45
2023-01-16,2026,91.45
2023-01-17,2376,92.34
2023-01-18,2273,91.83
2023-01-19,2089,91.89
2023-01-20,2001,91.96
2023-01-23,2475,90.87
2023-01-24,2443,89.19
2023-01-25,2317,91.47
2023-01-27,1887,78.86
2023-01-30,2813,89.25
2023-01-31,2837,88.06
2023-02-01,2747,63.34
2023-02-02,2808,69.71
2023-02-03,2465,68.73
2023-02-06,2804,82.55
2023-02-07,2918,69.81
2023-02-08,2669,74.12
2023-02-09,2559,74.42
2023-02-10,2278,79.08
2023-02-13,2646,80.72
2023-02-14,2772,78.27
2023-02-15,2651,78.58
2023-02-16,1466,78.9
2023-02-17,2311,77.82
2023-02-20,2454,83.03
2023-02-21,2454,82.41
2023-02-22,2433,83.75
2023-02-23,2702,81.58
2023-02-24,1931,85.31
2023-02-27,2128,91.61
2023-02-28,2261,90.37
2023-03-01,2269,90.13
2023-03-02,2371,86.78
2023-03-03,2382,84.98
2023-03-06,2141,87.04
2023-03-07,2326,86.23
2023-03-08,2453,87.52
2023-03-09,2515,88.52
2023-03-10,1822,89.11
2023-03-13,2124,92.12
2023-03-14,2327,92.49
2023-03-15,2453,87.04
2023-03-16,2303,92
2023-03-17,1944,93.21
2023-03-20,2182,92.83
2023-03-21,2263,93.64
2023-03-22,2313,90.96
2023-03-23,2413,93.26
2023-03-24,2022,93.81
2023-03-27,2466,92.92
2023-03-28,2475,93.7
2023-03-29,2364,93.44
2023-03-30,2456,93.71
2023-03-31,2121,92.98
2023-04-03,2298,94.73
2023-04-04,2384,89.27
2023-04-05,2354,87.04
2023-04-06,2034,88.18
2023-04-11,2068,89.18
2023-04-12,2049,88.67
2023-04-13,2230,93.33
2023-04-14,2096,93.25
2023-04-17,2245,93.96
2023-04-18,2158,94.22
2023-04-19,2245,93.75
2023-04-20,2243,91.94
2023-04-21,2069,93.86
2023-04-24,1867,90.67
