intDate,mediaType,offerCount,Score
2022-12-01,voice,484,81.25
2022-12-01,email,937,81.25
2022-12-01,message,355,81.25
2022-12-01,callback,208,81.25
2022-12-02,voice,400,78.92
2022-12-02,email,842,78.92
2022-12-02,callback,165,78.92
2022-12-02,message,261,78.92
2022-12-05,callback,159,86.18
2022-12-05,message,363,86.18
2022-12-05,email,927,86.18
2022-12-05,voice,432,86.18
2022-12-06,callback,253,75.87
2022-12-06,voice,492,75.87
2022-12-06,message,434,75.87
2022-12-06,email,1030,75.87
2022-12-07,message,375,73.17
2022-12-07,email,941,73.17
2022-12-07,callback,194,73.17
2022-12-07,voice,502,73.17
2022-12-08,voice,541,72.55
2022-12-08,callback,135,72.55
2022-12-08,email,1148,72.55
2022-12-08,message,328,72.55
2022-12-09,callback,95,73.31
2022-12-09,voice,395,73.31
2022-12-09,message,224,73.31
2022-12-09,email,1397,73.31
2022-12-12,email,1707,84.79
2022-12-12,voice,403,84.79
2022-12-12,message,407,84.79
2022-12-12,callback,212,84.79
2022-12-13,callback,194,78.09
2022-12-13,voice,478,78.09
2022-12-13,message,390,78.09
2022-12-13,email,1777,78.09
2022-12-14,callback,180,78.13
2022-12-14,message,355,78.13
2022-12-14,voice,447,78.13
2022-12-14,email,1665,78.13
2022-12-15,email,1644,79.53
2022-12-15,callback,128,79.53
2022-12-15,message,312,79.53
2022-12-15,voice,409,79.53
2022-12-16,voice,359,79.49
2022-12-16,message,235,79.49
2022-12-16,email,1447,79.49
2022-12-16,callback,109,79.49
2022-12-19,callback,71,82.69
2022-12-19,voice,487,82.69
2022-12-19,email,1465,82.69
2022-12-19,message,286,82.69
2022-12-20,voice,455,77.56
2022-12-20,message,258,77.56
2022-12-20,callback,64,77.56
2022-12-20,email,1561,77.56
2022-12-21,voice,363,82.45
2022-12-21,email,1573,82.45
2022-12-21,callback,50,82.45
2022-12-21,message,205,82.45
2022-12-22,email,1347,88.7
2022-12-22,message,164,88.7
2022-12-22,voice,332,88.7
2022-12-22,callback,22,88.7
2022-12-23,callback,14,87.88
2022-12-23,voice,211,87.88
2022-12-23,message,77,87.88
2022-12-23,email,966,87.88
2022-12-28,message,61,77.35
2022-12-28,callback,4,77.35
2022-12-28,email,641,77.35
2022-12-28,voice,130,77.35
2022-12-29,email,390,75.48
2022-12-29,voice,159,75.48
2022-12-29,message,73,75.48
2022-12-29,callback,2,75.48
2022-12-30,voice,136,68.99
2022-12-30,message,67,68.99
2022-12-30,callback,6,68.99
2022-12-30,email,644,68.99
2023-01-03,email,1122,72.94
2023-01-03,callback,51,72.94
2023-01-03,voice,299,72.94
2023-01-03,message,264,72.94
2023-01-04,message,262,78.18
2023-01-04,email,1225,78.18
2023-01-04,callback,91,78.18
2023-01-04,voice,311,78.18
2023-01-05,callback,61,79.49
2023-01-05,voice,362,79.49
2023-01-05,message,239,79.49
2023-01-05,email,1213,79.49
2023-01-06,email,1127,88.63
2023-01-06,callback,54,88.63
2023-01-06,voice,269,88.63
2023-01-06,message,176,88.63
2023-01-09,message,323,91.21
2023-01-09,voice,385,91.21
2023-01-09,email,1653,91.21
2023-01-09,callback,120,91.21
2023-01-10,callback,164,83.71
2023-01-10,voice,423,83.71
2023-01-10,email,1677,83.71
2023-01-10,message,368,83.71
2023-01-11,voice,346,91.75
2023-01-11,message,332,91.75
2023-01-11,email,1535,91.75
2023-01-11,callback,139,91.75
2023-01-12,voice,384,91.07
2023-01-12,email,1496,91.07
2023-01-12,callback,108,91.07
2023-01-12,message,304,91.07
2023-01-13,callback,56,92.45
2023-01-13,message,202,92.45
2023-01-13,email,1206,92.45
2023-01-13,voice,368,92.45
2023-01-16,voice,402,91.45
2023-01-16,message,371,91.45
2023-01-16,email,1253,91.45
2023-01-16,callback,174,91.45
2023-01-17,message,424,92.34
2023-01-17,email,1519,92.34
2023-01-17,callback,186,92.34
2023-01-17,voice,433,92.34
2023-01-18,message,334,91.83
2023-01-18,callback,181,91.83
2023-01-18,voice,473,91.83
2023-01-18,email,1466,91.83
2023-01-19,callback,165,91.89
2023-01-19,message,349,91.89
2023-01-19,voice,386,91.89
2023-01-19,email,1354,91.89
2023-01-20,email,1344,91.96
2023-01-20,voice,359,91.96
2023-01-20,callback,150,91.96
2023-01-20,message,298,91.96
2023-01-23,message,434,90.87
2023-01-23,voice,399,90.87
2023-01-23,email,1642,90.87
2023-01-23,callback,177,90.87
2023-01-24,callback,185,89.19
2023-01-24,message,408,89.19
2023-01-24,voice,404,89.19
2023-01-24,email,1631,89.19
2023-01-25,voice,395,91.47
2023-01-25,callback,197,91.47
2023-01-25,email,1560,91.47
2023-01-25,message,362,91.47
2023-01-27,email,1181,78.86
2023-01-27,voice,349,78.86
2023-01-27,message,357,78.86
2023-01-27,callback,205,78.86
2023-01-30,callback,319,89.25
2023-01-30,voice,524,89.25
2023-01-30,message,569,89.25
